Budget_ID,Year,Quarter,Month,Department_ID,Cost_Center_ID,Category_ID,Budget_Amount,Budget_Type,Region_ID
BUD-202504-DEP-001-CC-102-CAT-014,2025,Q2,April,DEP-001,CC-102,CAT-014,37401.84,Capital,REG-03
BUD-202504-DEP-001-CC-120-CAT-005,2025,Q2,April,DEP-001,CC-120,CAT-005,30208.48,Departmental,REG-06
BUD-202504-DEP-001-CC-110-CAT-009,2025,Q2,April,DEP-001,CC-110,CAT-009,31418.75,Operating,REG-01
BUD-202504-DEP-001-CC-105-CAT-009,2025,Q2,April,DEP-001,CC-105,CAT-009,33525.36,Operating,REG-01
BUD-202504-DEP-001-CC-118-CAT-010,2025,Q2,April,DEP-001,CC-118,CAT-010,26207.36,Operating,REG-03
BUD-202504-DEP-001-CC-101-CAT-010,2025,Q2,April,DEP-001,CC-101,CAT-010,30182.54,Project,REG-07
BUD-202504-DEP-001-CC-115-CAT-014,2025,Q2,April,DEP-001,CC-115,CAT-014,32517.38,Operating,REG-05
BUD-202504-DEP-001-CC-107-CAT-001,2025,Q2,April,DEP-001,CC-107,CAT-001,39746.18,Operating,REG-05
BUD-202504-DEP-001-CC-112-CAT-003,2025,Q2,April,DEP-001,CC-112,CAT-003,38690.12,Project,REG-03
BUD-202504-DEP-001-CC-113-CAT-014,2025,Q2,April,DEP-001,CC-113,CAT-014,35113.16,Departmental,REG-06
BUD-202504-DEP-001-CC-116-CAT-015,2025,Q2,April,DEP-001,CC-116,CAT-015,34874.57,Operating,REG-04
BUD-202504-DEP-001-CC-104-CAT-011,2025,Q2,April,DEP-001,CC-104,CAT-011,39857.88,Operating,REG-05
BUD-202504-DEP-001-CC-118-CAT-003,2025,Q2,April,DEP-001,CC-118,CAT-003,32107.07,Operating,REG-08
BUD-202504-DEP-001-CC-116-CAT-010,2025,Q2,April,DEP-001,CC-116,CAT-010,29600.68,Departmental,REG-08
BUD-202504-DEP-001-CC-104-CAT-007,2025,Q2,April,DEP-001,CC-104,CAT-007,21465.97,Departmental,REG-07
BUD-202504-DEP-001-CC-106-CAT-002,2025,Q2,April,DEP-001,CC-106,CAT-002,28871.98,Departmental,REG-03
BUD-202504-DEP-001-CC-120-CAT-009,2025,Q2,April,DEP-001,CC-120,CAT-009,33839.52,Operating,REG-04
BUD-202504-DEP-001-CC-110-CAT-015,2025,Q2,April,DEP-001,CC-110,CAT-015,40161.56,Operating,REG-01
BUD-202504-DEP-001-CC-116-CAT-004,2025,Q2,April,DEP-001,CC-116,CAT-004,45711.37,Operating,REG-03
BUD-202504-DEP-001-CC-109-CAT-015,2025,Q2,April,DEP-001,CC-109,CAT-015,41028.48,Departmental,REG-08
BUD-202504-DEP-001-CC-103-CAT-005,2025,Q2,April,DEP-001,CC-103,CAT-005,28736.42,Operating,REG-04
BUD-202504-DEP-001-CC-115-CAT-012,2025,Q2,April,DEP-001,CC-115,CAT-012,25353.23,Operating,REG-08
BUD-202504-DEP-001-CC-118-CAT-010,2025,Q2,April,DEP-001,CC-118,CAT-010,25941.26,Departmental,REG-01
BUD-202504-DEP-001-CC-101-CAT-010,2025,Q2,April,DEP-001,CC-101,CAT-010,27936.8,Departmental,REG-06
BUD-202504-DEP-001-CC-113-CAT-014,2025,Q2,April,DEP-001,CC-113,CAT-014,31216.35,Departmental,REG-08
BUD-202504-DEP-001-CC-101-CAT-007,2025,Q2,April,DEP-001,CC-101,CAT-007,21050.68,Capital,REG-01
BUD-202504-DEP-001-CC-113-CAT-013,2025,Q2,April,DEP-001,CC-113,CAT-013,40021.37,Project,REG-05
BUD-202504-DEP-001-CC-112-CAT-011,2025,Q2,April,DEP-001,CC-112,CAT-011,36742.94,Operating,REG-08
BUD-202504-DEP-001-CC-120-CAT-007,2025,Q2,April,DEP-001,CC-120,CAT-007,24213.71,Operating,REG-03
BUD-202504-DEP-001-CC-109-CAT-002,2025,Q2,April,DEP-001,CC-109,CAT-002,23570.8,Operating,REG-04
BUD-202504-DEP-001-CC-107-CAT-003,2025,Q2,April,DEP-001,CC-107,CAT-003,32996.28,Capital,REG-08
BUD-202504-DEP-001-CC-109-CAT-002,2025,Q2,April,DEP-001,CC-109,CAT-002,26874.09,Operating,REG-04
BUD-202504-DEP-001-CC-104-CAT-009,2025,Q2,April,DEP-001,CC-104,CAT-009,31334.66,Operating,REG-01
BUD-202504-DEP-001-CC-111-CAT-001,2025,Q2,April,DEP-001,CC-111,CAT-001,46832.67,Operating,REG-06
BUD-202504-DEP-001-CC-118-CAT-010,2025,Q2,April,DEP-001,CC-118,CAT-010,29306.52,Departmental,REG-03
BUD-202504-DEP-001-CC-113-CAT-009,2025,Q2,April,DEP-001,CC-113,CAT-009,35649.71,Capital,REG-03
BUD-202504-DEP-001-CC-107-CAT-005,2025,Q2,April,DEP-001,CC-107,CAT-005,29134.26,Capital,REG-08
BUD-202504-DEP-001-CC-114-CAT-015,2025,Q2,April,DEP-001,CC-114,CAT-015,38428.42,Operating,REG-02
BUD-202504-DEP-001-CC-119-CAT-009,2025,Q2,April,DEP-001,CC-119,CAT-009,35938.84,Operating,REG-08
BUD-202504-DEP-001-CC-103-CAT-015,2025,Q2,April,DEP-001,CC-103,CAT-015,34863.21,Departmental,REG-06
BUD-202504-DEP-001-CC-106-CAT-015,2025,Q2,April,DEP-001,CC-106,CAT-015,34966.71,Operating,REG-08
BUD-202504-DEP-001-CC-106-CAT-014,2025,Q2,April,DEP-001,CC-106,CAT-014,32800.5,Operating,REG-02
BUD-202504-DEP-001-CC-103-CAT-007,2025,Q2,April,DEP-001,CC-103,CAT-007,24250.23,Operating,REG-05
BUD-202504-DEP-001-CC-108-CAT-006,2025,Q2,April,DEP-001,CC-108,CAT-006,39475.4,Project,REG-04
BUD-202504-DEP-001-CC-102-CAT-010,2025,Q2,April,DEP-001,CC-102,CAT-010,32439.33,Operating,REG-03
BUD-202504-DEP-002-CC-109-CAT-011,2025,Q2,April,DEP-002,CC-109,CAT-011,28737.84,Project,REG-05
BUD-202504-DEP-002-CC-114-CAT-006,2025,Q2,April,DEP-002,CC-114,CAT-006,30499.35,Operating,REG-03
BUD-202504-DEP-002-CC-116-CAT-003,2025,Q2,April,DEP-002,CC-116,CAT-003,22967.16,Project,REG-04
BUD-202504-DEP-002-CC-106-CAT-003,2025,Q2,April,DEP-002,CC-106,CAT-003,22705.58,Operating,REG-02
BUD-202504-DEP-002-CC-106-CAT-013,2025,Q2,April,DEP-002,CC-106,CAT-013,31715.99,Capital,REG-03
BUD-202504-DEP-002-CC-107-CAT-015,2025,Q2,April,DEP-002,CC-107,CAT-015,25463.73,Capital,REG-03
BUD-202504-DEP-002-CC-117-CAT-006,2025,Q2,April,DEP-002,CC-117,CAT-006,26546.65,Operating,REG-03
BUD-202504-DEP-002-CC-104-CAT-012,2025,Q2,April,DEP-002,CC-104,CAT-012,17610.71,Operating,REG-02
BUD-202504-DEP-002-CC-120-CAT-010,2025,Q2,April,DEP-002,CC-120,CAT-010,19406.4,Operating,REG-04
BUD-202504-DEP-002-CC-119-CAT-014,2025,Q2,April,DEP-002,CC-119,CAT-014,25233.76,Capital,REG-07
BUD-202504-DEP-002-CC-112-CAT-004,2025,Q2,April,DEP-002,CC-112,CAT-004,39440.36,Operating,REG-04
BUD-202504-DEP-002-CC-101-CAT-001,2025,Q2,April,DEP-002,CC-101,CAT-001,28910.65,Operating,REG-07
BUD-202504-DEP-002-CC-117-CAT-002,2025,Q2,April,DEP-002,CC-117,CAT-002,17990.62,Operating,REG-06
BUD-202504-DEP-002-CC-118-CAT-004,2025,Q2,April,DEP-002,CC-118,CAT-004,35581.09,Operating,REG-01
BUD-202504-DEP-002-CC-107-CAT-010,2025,Q2,April,DEP-002,CC-107,CAT-010,18539.48,Capital,REG-06
BUD-202504-DEP-002-CC-110-CAT-001,2025,Q2,April,DEP-002,CC-110,CAT-001,28310.8,Project,REG-06
BUD-202504-DEP-002-CC-120-CAT-006,2025,Q2,April,DEP-002,CC-120,CAT-006,25635.12,Operating,REG-04
BUD-202504-DEP-002-CC-120-CAT-004,2025,Q2,April,DEP-002,CC-120,CAT-004,39388.29,Departmental,REG-08
BUD-202504-DEP-002-CC-116-CAT-014,2025,Q2,April,DEP-002,CC-116,CAT-014,23937.71,Operating,REG-05
BUD-202504-DEP-002-CC-107-CAT-003,2025,Q2,April,DEP-002,CC-107,CAT-003,27230.96,Project,REG-05
BUD-202504-DEP-002-CC-120-CAT-011,2025,Q2,April,DEP-002,CC-120,CAT-011,28572.63,Operating,REG-02
BUD-202504-DEP-002-CC-116-CAT-015,2025,Q2,April,DEP-002,CC-116,CAT-015,26929.43,Capital,REG-08
BUD-202504-DEP-002-CC-110-CAT-001,2025,Q2,April,DEP-002,CC-110,CAT-001,30759.45,Operating,REG-06
BUD-202504-DEP-002-CC-103-CAT-010,2025,Q2,April,DEP-002,CC-103,CAT-010,22082.97,Project,REG-01
BUD-202504-DEP-002-CC-117-CAT-002,2025,Q2,April,DEP-002,CC-117,CAT-002,18371.9,Departmental,REG-07
BUD-202504-DEP-002-CC-118-CAT-005,2025,Q2,April,DEP-002,CC-118,CAT-005,24067.08,Operating,REG-05
BUD-202504-DEP-002-CC-111-CAT-007,2025,Q2,April,DEP-002,CC-111,CAT-007,16197.24,Operating,REG-01
BUD-202504-DEP-002-CC-108-CAT-015,2025,Q2,April,DEP-002,CC-108,CAT-015,26304.95,Capital,REG-03
BUD-202504-DEP-002-CC-104-CAT-005,2025,Q2,April,DEP-002,CC-104,CAT-005,22843.61,Operating,REG-02
BUD-202504-DEP-002-CC-114-CAT-012,2025,Q2,April,DEP-002,CC-114,CAT-012,20998.35,Operating,REG-03
BUD-202504-DEP-002-CC-103-CAT-015,2025,Q2,April,DEP-002,CC-103,CAT-015,23366.03,Operating,REG-08
BUD-202504-DEP-002-CC-113-CAT-012,2025,Q2,April,DEP-002,CC-113,CAT-012,18649.39,Operating,REG-07
BUD-202504-DEP-002-CC-111-CAT-012,2025,Q2,April,DEP-002,CC-111,CAT-012,17907.15,Operating,REG-07
BUD-202504-DEP-002-CC-103-CAT-014,2025,Q2,April,DEP-002,CC-103,CAT-014,23057.72,Operating,REG-02
BUD-202504-DEP-002-CC-116-CAT-013,2025,Q2,April,DEP-002,CC-116,CAT-013,30207.48,Operating,REG-07
BUD-202504-DEP-002-CC-109-CAT-004,2025,Q2,April,DEP-002,CC-109,CAT-004,39998.61,Capital,REG-02
BUD-202504-DEP-002-CC-103-CAT-013,2025,Q2,April,DEP-002,CC-103,CAT-013,30675.52,Project,REG-07
BUD-202504-DEP-002-CC-120-CAT-007,2025,Q2,April,DEP-002,CC-120,CAT-007,16387.57,Operating,REG-06
BUD-202504-DEP-002-CC-111-CAT-015,2025,Q2,April,DEP-002,CC-111,CAT-015,24612.23,Operating,REG-04
BUD-202504-DEP-002-CC-114-CAT-010,2025,Q2,April,DEP-002,CC-114,CAT-010,20242.02,Operating,REG-04
BUD-202504-DEP-002-CC-117-CAT-007,2025,Q2,April,DEP-002,CC-117,CAT-007,16679.09,Capital,REG-05
BUD-202504-DEP-002-CC-112-CAT-013,2025,Q2,April,DEP-002,CC-112,CAT-013,28918.51,Project,REG-01
BUD-202504-DEP-002-CC-118-CAT-007,2025,Q2,April,DEP-002,CC-118,CAT-007,16772.13,Operating,REG-04
BUD-202504-DEP-002-CC-103-CAT-014,2025,Q2,April,DEP-002,CC-103,CAT-014,26861.75,Operating,REG-01
BUD-202504-DEP-002-CC-117-CAT-008,2025,Q2,April,DEP-002,CC-117,CAT-008,36483.47,Operating,REG-06
BUD-202504-DEP-002-CC-101-CAT-003,2025,Q2,April,DEP-002,CC-101,CAT-003,22807.24,Operating,REG-07
BUD-202504-DEP-002-CC-119-CAT-007,2025,Q2,April,DEP-002,CC-119,CAT-007,17591.41,Operating,REG-04
BUD-202504-DEP-002-CC-120-CAT-010,2025,Q2,April,DEP-002,CC-120,CAT-010,21527.72,Operating,REG-04
