Expense_ID,Date,Year,Quarter,Month,Department_ID,Cost_Center_ID,Category_ID,Subcategory_ID,Vendor_ID,Description,Budget_ID,Amount,Payment_Status,Region_ID
EXP-000649,2025-01-01,2025,Q1,January,DEP-007,CC-112,CAT-011,SUB-017,VEN-0008,Business travel,BUD-002699,1646.0,Paid,REG-03
EXP-000756,2025-01-01,2025,Q1,January,DEP-009,CC-107,CAT-008,SUB-017,VEN-0044,Employee training,BUD-000418,18288.16,Paid,REG-03
EXP-000980,2025-01-01,2025,Q1,January,DEP-008,CC-101,CAT-004,SUB-010,VEN-0066,Cloud services,BUD-008535,9929.66,Approved,REG-04
EXP-001138,2025-01-01,2025,Q1,January,DEP-007,CC-117,CAT-010,SUB-036,VEN-0061,Professional services,BUD-002338,10847.82,Paid,REG-03
EXP-001976,2025-01-01,2025,Q1,January,DEP-001,CC-104,CAT-012,SUB-029,VEN-0018,Maintenance service,BUD-008290,5460.37,Pending,REG-01
EXP-002033,2025-01-01,2025,Q1,January,DEP-003,CC-110,CAT-007,SUB-012,VEN-0052,Equipment purchase,BUD-008581,3677.43,Paid,REG-05
EXP-003048,2025-01-01,2025,Q1,January,DEP-003,CC-116,CAT-011,SUB-008,VEN-0034,Office supplies,BUD-002420,2769.5,Paid,REG-07
EXP-003247,2025-01-01,2025,Q1,January,DEP-001,CC-104,CAT-008,SUB-002,VEN-0054,Employee training,BUD-001324,1540.75,Approved,REG-03
EXP-003552,2025-01-01,2025,Q1,January,DEP-006,CC-120,CAT-014,SUB-008,VEN-0042,Maintenance service,BUD-000636,469.52,Paid,REG-05
EXP-004158,2025-01-01,2025,Q1,January,DEP-008,CC-115,CAT-011,SUB-009,VEN-0014,Utilities,BUD-001165,9888.22,Paid,REG-05
EXP-005170,2025-01-01,2025,Q1,January,DEP-009,CC-113,CAT-009,SUB-034,VEN-0005,Utilities,BUD-005361,2507.99,Paid,REG-01
EXP-006185,2025-01-01,2025,Q1,January,DEP-010,CC-120,CAT-006,SUB-026,VEN-0024,Professional services,BUD-007174,1765.22,Pending,REG-05
EXP-006363,2025-01-01,2025,Q1,January,DEP-009,CC-117,CAT-004,SUB-037,VEN-0032,Professional services,BUD-004550,1142.45,Paid,REG-03
EXP-006558,2025-01-01,2025,Q1,January,DEP-006,CC-119,CAT-004,SUB-015,VEN-0089,Insurance expense,BUD-002420,17755.07,Paid,REG-04
EXP-006614,2025-01-01,2025,Q1,January,DEP-002,CC-114,CAT-010,SUB-034,VEN-0068,Transportation,BUD-003594,19164.42,Paid,REG-02
EXP-006872,2025-01-01,2025,Q1,January,DEP-003,CC-111,CAT-001,SUB-039,VEN-0008,Office supplies,BUD-004678,1104.99,Approved,REG-02
EXP-007677,2025-01-01,2025,Q1,January,DEP-009,CC-108,CAT-004,SUB-014,VEN-0017,Transportation,BUD-003090,5539.08,Paid,REG-08
EXP-008112,2025-01-01,2025,Q1,January,DEP-005,CC-102,CAT-006,SUB-028,VEN-0078,Employee training,BUD-003269,3307.86,Paid,REG-07
EXP-009682,2025-01-01,2025,Q1,January,DEP-009,CC-103,CAT-011,SUB-021,VEN-0009,Marketing expense,BUD-006849,885.42,Paid,REG-04
EXP-011114,2025-01-01,2025,Q1,January,DEP-003,CC-101,CAT-003,SUB-003,VEN-0036,Consulting fee,BUD-009776,4396.45,Paid,REG-08
EXP-011228,2025-01-01,2025,Q1,January,DEP-001,CC-114,CAT-008,SUB-026,VEN-0019,Insurance expense,BUD-007916,2064.53,Paid,REG-07
EXP-011430,2025-01-01,2025,Q1,January,DEP-008,CC-112,CAT-013,SUB-036,VEN-0089,Software subscription,BUD-007102,4215.67,Approved,REG-04
EXP-012286,2025-01-01,2025,Q1,January,DEP-007,CC-119,CAT-008,SUB-019,VEN-0052,Consulting fee,BUD-009980,9315.16,Paid,REG-03
EXP-013932,2025-01-01,2025,Q1,January,DEP-007,CC-119,CAT-009,SUB-033,VEN-0046,Equipment purchase,BUD-000644,8260.24,Paid,REG-04
EXP-014121,2025-01-01,2025,Q1,January,DEP-007,CC-102,CAT-008,SUB-023,VEN-0070,Business travel,BUD-003115,1647.94,Approved,REG-05
EXP-015978,2025-01-01,2025,Q1,January,DEP-004,CC-101,CAT-003,SUB-018,VEN-0054,Professional services,BUD-009524,2595.77,Approved,REG-08
EXP-016159,2025-01-01,2025,Q1,January,DEP-001,CC-103,CAT-007,SUB-030,VEN-0002,Cloud services,BUD-000643,9532.12,Paid,REG-02
EXP-016524,2025-01-01,2025,Q1,January,DEP-007,CC-104,CAT-010,SUB-015,VEN-0034,Employee training,BUD-006784,3523.68,Paid,REG-06
EXP-017057,2025-01-01,2025,Q1,January,DEP-005,CC-120,CAT-007,SUB-027,VEN-0043,Insurance expense,BUD-006400,5140.04,Paid,REG-05
EXP-017499,2025-01-01,2025,Q1,January,DEP-004,CC-105,CAT-006,SUB-012,VEN-0093,Consulting fee,BUD-000160,27171.55,Paid,REG-02
EXP-017680,2025-01-01,2025,Q1,January,DEP-003,CC-108,CAT-006,SUB-005,VEN-0039,Transportation,BUD-007102,16683.64,Paid,REG-05
EXP-019669,2025-01-01,2025,Q1,January,DEP-005,CC-115,CAT-010,SUB-005,VEN-0004,Marketing expense,BUD-004350,5652.3,Pending,REG-01
EXP-020242,2025-01-01,2025,Q1,January,DEP-003,CC-112,CAT-009,SUB-008,VEN-0082,Cloud services,BUD-003038,7726.57,Approved,REG-05
EXP-020252,2025-01-01,2025,Q1,January,DEP-003,CC-118,CAT-001,SUB-002,VEN-0096,Utilities,BUD-006258,712.44,Approved,REG-03
EXP-020635,2025-01-01,2025,Q1,January,DEP-007,CC-105,CAT-013,SUB-030,VEN-0021,Business travel,BUD-005609,2224.28,Paid,REG-01
EXP-021130,2025-01-01,2025,Q1,January,DEP-007,CC-120,CAT-011,SUB-037,VEN-0092,Software subscription,BUD-005736,862.62,Paid,REG-06
EXP-021274,2025-01-01,2025,Q1,January,DEP-007,CC-109,CAT-009,SUB-005,VEN-0035,Utilities,BUD-000252,2864.09,Approved,REG-04
EXP-021369,2025-01-01,2025,Q1,January,DEP-007,CC-113,CAT-004,SUB-001,VEN-0049,Insurance expense,BUD-009540,8206.68,Paid,REG-08
EXP-022183,2025-01-01,2025,Q1,January,DEP-009,CC-120,CAT-014,SUB-013,VEN-0076,Consulting fee,BUD-004120,4282.67,Paid,REG-03
EXP-022788,2025-01-01,2025,Q1,January,DEP-008,CC-110,CAT-010,SUB-016,VEN-0080,Business travel,BUD-003269,1091.82,Approved,REG-01
EXP-022987,2025-01-01,2025,Q1,January,DEP-006,CC-109,CAT-005,SUB-006,VEN-0082,Insurance expense,BUD-009970,8287.32,Pending,REG-02
EXP-023305,2025-01-01,2025,Q1,January,DEP-008,CC-114,CAT-007,SUB-036,VEN-0048,Cloud services,BUD-000428,1319.89,Pending,REG-01
EXP-024609,2025-01-01,2025,Q1,January,DEP-002,CC-116,CAT-012,SUB-016,VEN-0077,Marketing expense,BUD-004132,6418.65,Approved,REG-08
EXP-025477,2025-01-01,2025,Q1,January,DEP-002,CC-118,CAT-007,SUB-009,VEN-0049,Insurance expense,BUD-001559,4049.96,Rejected,REG-08
EXP-026744,2025-01-01,2025,Q1,January,DEP-002,CC-107,CAT-002,SUB-022,VEN-0025,Marketing expense,BUD-004050,4032.1,Paid,REG-02
EXP-027949,2025-01-01,2025,Q1,January,DEP-007,CC-109,CAT-005,SUB-003,VEN-0085,Transportation,BUD-000133,1245.09,Paid,REG-08
EXP-028290,2025-01-01,2025,Q1,January,DEP-007,CC-103,CAT-008,SUB-035,VEN-0100,Professional services,BUD-008892,4278.39,Approved,REG-02
EXP-028892,2025-01-01,2025,Q1,January,DEP-002,CC-102,CAT-006,SUB-010,VEN-0010,Utilities,BUD-004306,4736.39,Paid,REG-05
EXP-029159,2025-01-01,2025,Q1,January,DEP-003,CC-103,CAT-001,SUB-001,VEN-0033,Office supplies,BUD-007608,4902.98,Paid,REG-03
EXP-030096,2025-01-01,2025,Q1,January,DEP-006,CC-106,CAT-001,SUB-003,VEN-0027,Utilities,BUD-001049,950.2,Rejected,REG-03
EXP-030471,2025-01-01,2025,Q1,January,DEP-006,CC-107,CAT-014,SUB-037,VEN-0014,Insurance expense,BUD-000995,1776.53,Paid,REG-06
EXP-030911,2025-01-01,2025,Q1,January,DEP-002,CC-105,CAT-007,SUB-031,VEN-0028,Equipment purchase,BUD-002207,1407.75,Approved,REG-06
EXP-034495,2025-01-01,2025,Q1,January,DEP-004,CC-112,CAT-008,SUB-029,VEN-0051,Facility expense,BUD-000477,11572.07,Approved,REG-06
EXP-036795,2025-01-01,2025,Q1,January,DEP-004,CC-108,CAT-010,SUB-016,VEN-0017,Consulting fee,BUD-008220,1385.52,Pending,REG-03
EXP-036851,2025-01-01,2025,Q1,January,DEP-006,CC-118,CAT-002,SUB-010,VEN-0049,Equipment purchase,BUD-000288,1991.77,Rejected,REG-05
EXP-037037,2025-01-01,2025,Q1,January,DEP-008,CC-110,CAT-001,SUB-033,VEN-0038,Insurance expense,BUD-009469,1680.62,Approved,REG-01
EXP-037637,2025-01-01,2025,Q1,January,DEP-009,CC-114,CAT-013,SUB-029,VEN-0092,Employee training,BUD-009794,2019.72,Pending,REG-02
EXP-038246,2025-01-01,2025,Q1,January,DEP-002,CC-113,CAT-011,SUB-008,VEN-0027,Recruitment expense,BUD-004270,1329.24,Pending,REG-01
EXP-038795,2025-01-01,2025,Q1,January,DEP-009,CC-102,CAT-011,SUB-007,VEN-0023,Insurance expense,BUD-007110,2624.27,Rejected,REG-04
EXP-041263,2025-01-01,2025,Q1,January,DEP-001,CC-113,CAT-002,SUB-014,VEN-0048,Equipment purchase,BUD-000800,7339.12,Paid,REG-05
EXP-041363,2025-01-01,2025,Q1,January,DEP-008,CC-105,CAT-013,SUB-003,VEN-0032,Marketing expense,BUD-006314,1199.04,Paid,REG-02
EXP-041499,2025-01-01,2025,Q1,January,DEP-003,CC-102,CAT-004,SUB-036,VEN-0048,Employee training,BUD-008261,8974.09,Paid,REG-05
EXP-042342,2025-01-01,2025,Q1,January,DEP-010,CC-120,CAT-007,SUB-011,VEN-0091,Transportation,BUD-005113,1844.27,Approved,REG-03
EXP-042363,2025-01-01,2025,Q1,January,DEP-007,CC-104,CAT-012,SUB-024,VEN-0053,Utilities,BUD-008146,556.45,Paid,REG-01
EXP-045900,2025-01-01,2025,Q1,January,DEP-004,CC-106,CAT-002,SUB-027,VEN-0011,Transportation,BUD-003006,4398.13,Approved,REG-03
EXP-046858,2025-01-01,2025,Q1,January,DEP-010,CC-111,CAT-008,SUB-038,VEN-0003,Office supplies,BUD-001953,25627.31,Paid,REG-06
EXP-048556,2025-01-01,2025,Q1,January,DEP-008,CC-115,CAT-015,SUB-019,VEN-0072,Marketing expense,BUD-001791,3464.93,Paid,REG-07
EXP-000069,2025-01-02,2025,Q1,January,DEP-006,CC-103,CAT-002,SUB-013,VEN-0025,Marketing expense,BUD-000957,11411.08,Pending,REG-05
EXP-000213,2025-01-02,2025,Q1,January,DEP-009,CC-109,CAT-001,SUB-036,VEN-0048,Business travel,BUD-002577,1107.15,Approved,REG-03
EXP-000269,2025-01-02,2025,Q1,January,DEP-010,CC-117,CAT-008,SUB-011,VEN-0039,Office supplies,BUD-006992,1949.56,Paid,REG-08
EXP-001800,2025-01-02,2025,Q1,January,DEP-010,CC-113,CAT-015,SUB-019,VEN-0049,Facility expense,BUD-007016,2995.45,Approved,REG-08
EXP-001914,2025-01-02,2025,Q1,January,DEP-004,CC-101,CAT-005,SUB-016,VEN-0083,Professional services,BUD-001808,4055.58,Approved,REG-03
EXP-002134,2025-01-02,2025,Q1,January,DEP-005,CC-120,CAT-001,SUB-012,VEN-0069,Business travel,BUD-009430,15516.08,Paid,REG-07
EXP-005138,2025-01-02,2025,Q1,January,DEP-008,CC-103,CAT-011,SUB-026,VEN-0002,Office supplies,BUD-003805,5132.56,Pending,REG-06
EXP-006815,2025-01-02,2025,Q1,January,DEP-003,CC-104,CAT-006,SUB-028,VEN-0052,Utilities,BUD-000330,692.82,Paid,REG-03
EXP-007149,2025-01-02,2025,Q1,January,DEP-005,CC-109,CAT-014,SUB-038,VEN-0033,Software subscription,BUD-007412,8300.71,Approved,REG-04
EXP-008047,2025-01-02,2025,Q1,January,DEP-006,CC-109,CAT-008,SUB-026,VEN-0074,Equipment purchase,BUD-003633,3227.41,Approved,REG-03
EXP-008103,2025-01-02,2025,Q1,January,DEP-006,CC-114,CAT-011,SUB-028,VEN-0081,Consulting fee,BUD-008394,574.42,Paid,REG-08
EXP-008507,2025-01-02,2025,Q1,January,DEP-005,CC-109,CAT-005,SUB-014,VEN-0010,Facility expense,BUD-000752,2188.87,Rejected,REG-07
EXP-010278,2025-01-02,2025,Q1,January,DEP-004,CC-103,CAT-014,SUB-037,VEN-0030,Employee training,BUD-001092,410.78,Paid,REG-07
EXP-010363,2025-01-02,2025,Q1,January,DEP-005,CC-116,CAT-014,SUB-002,VEN-0074,Marketing expense,BUD-009624,1795.31,Rejected,REG-08
EXP-010465,2025-01-02,2025,Q1,January,DEP-004,CC-118,CAT-015,SUB-007,VEN-0016,Cloud services,BUD-006548,6081.75,Approved,REG-07
EXP-013548,2025-01-02,2025,Q1,January,DEP-003,CC-105,CAT-003,SUB-015,VEN-0091,Office supplies,BUD-000907,1195.09,Pending,REG-08
EXP-014527,2025-01-02,2025,Q1,January,DEP-004,CC-102,CAT-015,SUB-005,VEN-0088,Utilities,BUD-002944,2321.84,Paid,REG-08
EXP-016344,2025-01-02,2025,Q1,January,DEP-002,CC-112,CAT-002,SUB-022,VEN-0012,Software subscription,BUD-004901,4925.21,Paid,REG-04
EXP-017529,2025-01-02,2025,Q1,January,DEP-009,CC-116,CAT-003,SUB-019,VEN-0008,Employee training,BUD-003209,470.6,Paid,REG-07
EXP-018378,2025-01-02,2025,Q1,January,DEP-006,CC-117,CAT-005,SUB-026,VEN-0072,Professional services,BUD-006153,27526.18,Paid,REG-08
EXP-018538,2025-01-02,2025,Q1,January,DEP-008,CC-110,CAT-014,SUB-027,VEN-0046,Utilities,BUD-002065,3306.68,Approved,REG-03
EXP-018566,2025-01-02,2025,Q1,January,DEP-001,CC-112,CAT-010,SUB-011,VEN-0040,Professional services,BUD-008511,1935.09,Paid,REG-07
EXP-018935,2025-01-02,2025,Q1,January,DEP-006,CC-109,CAT-014,SUB-007,VEN-0067,Transportation,BUD-001727,1225.51,Rejected,REG-04
EXP-019327,2025-01-02,2025,Q1,January,DEP-005,CC-112,CAT-008,SUB-036,VEN-0069,Utilities,BUD-006600,1729.57,Paid,REG-06
