Invoice_ID,Invoice_Date,Due_Date,Customer_ID,Department_ID,Invoice_Category,Invoice_Amount,Paid_Amount,Outstanding_Amount,Payment_Status,Region_ID
INV-000064,2025-01-01,2025-01-16,CUS-00876,DEP-003,Implementation,14553.26,9404.43,5148.83,Partially Paid,REG-03
INV-001070,2025-01-01,2025-01-31,CUS-01825,DEP-005,Support,46851.56,46851.56,0.0,Paid,REG-05
INV-001481,2025-01-01,2025-01-31,CUS-01362,DEP-001,Other Revenue,6592.06,6592.06,0.0,Paid,REG-07
INV-001657,2025-01-01,2025-02-15,CUS-01711,DEP-006,Implementation,3754.57,0.0,3754.57,Pending,REG-06
INV-003449,2025-01-01,2025-01-31,CUS-01103,DEP-006,Service Revenue,26076.56,26076.56,0.0,Paid,REG-08
INV-004040,2025-01-01,2025-01-16,CUS-00140,DEP-007,Support,10366.77,3867.71,6499.06,Partially Paid,REG-01
INV-005986,2025-01-01,2025-01-31,CUS-01291,DEP-007,Implementation,17483.16,17483.16,0.0,Paid,REG-06
INV-006977,2025-01-01,2025-01-31,CUS-01415,DEP-009,Support,38550.62,38550.62,0.0,Paid,REG-04
INV-007716,2025-01-01,2025-01-31,CUS-01223,DEP-007,Service Revenue,11459.54,11459.54,0.0,Paid,REG-03
INV-009615,2025-01-01,2025-01-31,CUS-00425,DEP-008,Other Revenue,16868.71,16868.71,0.0,Paid,REG-03
INV-009812,2025-01-01,2025-01-16,CUS-01145,DEP-006,Other Revenue,2902.92,2902.92,0.0,Paid,REG-01
INV-011462,2025-01-01,2025-01-31,CUS-01490,DEP-008,Other Revenue,14288.48,6191.5,8096.98,Partially Paid,REG-01
INV-011809,2025-01-01,2025-01-16,CUS-01572,DEP-007,Subscription,26618.13,19641.31,6976.82,Partially Paid,REG-01
INV-012696,2025-01-01,2025-02-15,CUS-01597,DEP-001,Service Revenue,22528.18,22528.18,0.0,Paid,REG-01
INV-014143,2025-01-01,2025-01-31,CUS-01339,DEP-002,Maintenance,7774.28,0.0,7774.28,Overdue,REG-03
INV-014500,2025-01-01,2025-02-15,CUS-01765,DEP-001,Support,26523.71,26523.71,0.0,Paid,REG-07
INV-014884,2025-01-01,2025-01-16,CUS-00042,DEP-005,Product Sales,19879.9,19879.9,0.0,Paid,REG-05
INV-001232,2025-01-02,2025-02-01,CUS-00325,DEP-006,Other Revenue,9302.33,9302.33,0.0,Paid,REG-05
INV-001924,2025-01-02,2025-02-01,CUS-01293,DEP-002,Implementation,9045.45,4801.63,4243.82,Partially Paid,REG-02
INV-002242,2025-01-02,2025-02-01,CUS-00007,DEP-004,Support,18092.07,18092.07,0.0,Paid,REG-03
INV-002403,2025-01-02,2025-02-01,CUS-00742,DEP-004,Support,63637.22,29850.32,33786.9,Partially Paid,REG-08
INV-003761,2025-01-02,2025-02-01,CUS-01046,DEP-004,Subscription,21776.94,21776.94,0.0,Paid,REG-03
INV-003762,2025-01-02,2025-02-01,CUS-00656,DEP-001,Service Revenue,10337.64,10337.64,0.0,Paid,REG-07
INV-004551,2025-01-02,2025-02-01,CUS-00930,DEP-003,Other Revenue,29629.87,29629.87,0.0,Paid,REG-06
INV-004874,2025-01-02,2025-03-03,CUS-01216,DEP-004,Consulting,65060.85,65060.85,0.0,Paid,REG-01
INV-005180,2025-01-02,2025-02-01,CUS-01759,DEP-002,Subscription,209712.86,209712.86,0.0,Paid,REG-04
INV-005539,2025-01-02,2025-02-01,CUS-01054,DEP-006,Other Revenue,9339.83,9339.83,0.0,Paid,REG-07
INV-006048,2025-01-02,2025-03-03,CUS-01014,DEP-002,Service Revenue,20163.16,0.0,20163.16,Overdue,REG-02
INV-006090,2025-01-02,2025-02-01,CUS-00965,DEP-003,Service Revenue,38539.22,38539.22,0.0,Paid,REG-03
INV-006099,2025-01-02,2025-02-01,CUS-00635,DEP-003,Product Sales,15617.55,15617.55,0.0,Paid,REG-08
INV-007651,2025-01-02,2025-02-01,CUS-01902,DEP-007,Support,54623.53,0.0,54623.53,Cancelled,REG-01
INV-007801,2025-01-02,2025-02-01,CUS-01829,DEP-004,Consulting,14721.05,14721.05,0.0,Paid,REG-01
INV-007808,2025-01-02,2025-02-01,CUS-01853,DEP-009,Product Sales,29591.04,29591.04,0.0,Paid,REG-08
INV-009077,2025-01-02,2025-02-01,CUS-00178,DEP-005,Consulting,76973.16,76973.16,0.0,Paid,REG-05
INV-010833,2025-01-02,2025-02-01,CUS-01950,DEP-008,Service Revenue,72134.32,72134.32,0.0,Paid,REG-02
INV-011064,2025-01-02,2025-02-01,CUS-01981,DEP-005,Subscription,20944.55,0.0,20944.55,Pending,REG-08
INV-011731,2025-01-02,2025-02-01,CUS-01705,DEP-006,Service Revenue,39967.14,39967.14,0.0,Paid,REG-05
