Revenue_ID,Date,Year,Quarter,Month,Department_ID,Customer_ID,Revenue_Category_ID,Invoice_ID,Revenue_Amount,Payment_Status,Region_ID
REV-000477,2025-01-01,2025,Q1,January,DEP-007,CUS-01322,RCAT-007,INV-001676,88501.61,Overdue,REG-03
REV-000783,2025-01-01,2025,Q1,January,DEP-008,CUS-00404,RCAT-009,INV-008190,16325.36,Cancelled,REG-05
REV-001663,2025-01-01,2025,Q1,January,DEP-005,CUS-01092,RCAT-001,INV-012550,35955.75,Pending,REG-05
REV-001856,2025-01-01,2025,Q1,January,DEP-005,CUS-01310,RCAT-002,INV-009972,57306.7,Pending,REG-02
REV-002519,2025-01-01,2025,Q1,January,DEP-002,CUS-00249,RCAT-002,INV-010687,11384.68,Paid,REG-07
REV-004090,2025-01-01,2025,Q1,January,DEP-007,CUS-00807,RCAT-008,INV-006803,5074.57,Paid,REG-03
REV-005876,2025-01-01,2025,Q1,January,DEP-002,CUS-00095,RCAT-010,INV-014990,8285.91,Paid,REG-03
REV-006471,2025-01-01,2025,Q1,January,DEP-006,CUS-01320,RCAT-005,INV-007492,12440.41,Paid,REG-04
REV-007350,2025-01-01,2025,Q1,January,DEP-006,CUS-00335,RCAT-007,INV-002743,56194.96,Pending,REG-08
REV-007785,2025-01-01,2025,Q1,January,DEP-002,CUS-01414,RCAT-009,INV-013804,10740.19,Paid,REG-03
REV-009625,2025-01-01,2025,Q1,January,DEP-006,CUS-01082,RCAT-008,INV-012845,16255.94,Paid,REG-05
REV-009861,2025-01-01,2025,Q1,January,DEP-009,CUS-01285,RCAT-003,INV-007713,15435.37,Paid,REG-08
REV-010543,2025-01-01,2025,Q1,January,DEP-009,CUS-00484,RCAT-004,INV-008395,2962.1,Paid,REG-08
REV-010582,2025-01-01,2025,Q1,January,DEP-001,CUS-01529,RCAT-001,INV-010455,27542.24,Paid,REG-07
REV-010768,2025-01-01,2025,Q1,January,DEP-003,CUS-00051,RCAT-001,INV-006906,8688.72,Paid,REG-02
REV-011007,2025-01-01,2025,Q1,January,DEP-008,CUS-01525,RCAT-007,INV-004408,67839.34,Paid,REG-01
REV-011049,2025-01-01,2025,Q1,January,DEP-001,CUS-01518,RCAT-009,INV-000452,10851.72,Paid,REG-04
REV-011188,2025-01-01,2025,Q1,January,DEP-002,CUS-00320,RCAT-009,INV-013214,33006.32,Paid,REG-01
REV-011200,2025-01-01,2025,Q1,January,DEP-003,CUS-01946,RCAT-007,INV-013321,9939.59,Paid,REG-01
REV-012478,2025-01-01,2025,Q1,January,DEP-007,CUS-01400,RCAT-008,INV-012948,41335.21,Paid,REG-05
